id,first_name,last_name,email,shoe_type,shoe_material,shoe_color,price
41874,Kyle,Peck,KylePeck71@gmail.com,ballet flats,faux-leather,black,385.0
31349,Elizabeth,Velazquez,EVelazquez1971@gmail.com,boots,fabric,brown,388.0
43416,Keith,Saunders,KS4047@gmail.com,sandals,leather,navy,346.0
56054,Ryan,Sweeney,RyanSweeney14@outlook.com,sandals,fabric,brown,344.0
77402,Donna,Blankenship,DB3807@gmail.com,stilettos,fabric,brown,289.0
97148,Albert,Dillon,Albert.Dillon@gmail.com,wedges,fabric,brown,266.0
19998,Judith,Hewitt,JudithHewitt98@gmail.com,stilettos,leather,black,395.0
83290,Kayla,Hardin,Kayla.Hardin@gmail.com,stilettos,leather,white,241.0
77867,Steven,Blankenship,Steven.Blankenship@gmail.com,wedges,leather,navy,266.0
54885,Carol,Mclaughlin,CM3415@gmail.com,ballet flats,faux-leather,brown,440.0
35853,Jacob,Juarez,JJuarez1977@outlook.com,ballet flats,leather,red,331.0
35916,Michael,Christensen,Michael.Christensen@gmail.com,ballet flats,faux-leather,red,270.0
39587,Dennis,Vega,Dennis.Vega@gmail.com,ballet flats,faux-leather,brown,91.0
19234,Kathleen,Frost,KFrost1970@gmail.com,clogs,leather,brown,319.0
19733,Deborah,Lara,Deborah.Lara@gmail.com,ballet flats,leather,white,205.0
30871,Abigail,Dillard,ADillard1994@gmail.com,ballet flats,faux-leather,white,278.0
11967,Maria,Whitfield,Maria.Whitfield@gmail.com,wedges,fabric,white,180.0
42371,Gregory,Rose,GRose1983@gmail.com,boots,faux-leather,brown,319.0
35693,Margaret,Tyler,MTyler1974@gmail.com,ballet flats,fabric,brown,481.0
36694,Jessica,Cash,JCash1997@gmail.com,clogs,leather,red,397.0
84933,Jeremy,Holder,JeremyHolder35@gmail.com,wedges,leather,red,347.0
92283,Diana,Burgess,DBurgess1998@gmail.com,wedges,faux-leather,red,324.0
87240,William,Calderon,WilliamCalderon79@gmail.com,clogs,leather,red,439.0
49817,Katherine,Jensen,Katherine.Jensen@gmail.com,boots,fabric,black,171.0
18255,Tiffany,Bradshaw,TB6065@gmail.com,boots,faux-leather,navy,284.0
16026,William,Edwards,WE2364@gmail.com,sandals,leather,white,326.0
39560,Teresa,Valenzuela,TValenzuela1973@gmail.com,clogs,leather,brown,323.0
63898,Amber,Gross,Amber.Gross@gmail.com,stilettos,leather,black,451.0
31777,Kayla,Fox,Kayla.Fox@yahoo.com,sandals,fabric,navy,207.0
42232,Megan,Tyson,MTyson1979@gmail.com,sandals,faux-leather,white,456.0
69370,Vincent,Greer,Vincent.Greer@gmail.com,boots,leather,brown,308.0
62378,Willie,Sharp,WS5572@gmail.com,wedges,fabric,white,161.0
48007,Billy,Dalton,BDalton1987@gmail.com,stilettos,fabric,navy,167.0
27900,Alan,Golden,AG6950@gmail.com,boots,fabric,navy,289.0
85959,Julie,Rosa,JRosa1990@outlook.com,stilettos,leather,brown,481.0
94489,Philip,Carpenter,Philip.Carpenter@gmail.com,boots,faux-leather,red,247.0
24421,Megan,Rhodes,MR1115@gmail.com,boots,fabric,black,100.0
87527,James,Sheppard,James.Sheppard@gmail.com,boots,faux-leather,brown,211.0
87313,Wayne,Small,WSmall1987@gmail.com,stilettos,faux-leather,navy,487.0
18507,Donna,Clay,DC4155@hotmail.com,boots,fabric,navy,478.0
49063,Sara,Michael,SaraMichael67@gmail.com,sandals,fabric,brown,247.0
76091,Joan,Chan,JoanChan88@gmail.com,wedges,faux-leather,red,253.0
50912,Nicole,Morgan,NicoleMorgan51@hotmail.com,boots,faux-leather,black,114.0
26090,Jacob,Callahan,JacobCallahan54@gmail.com,stilettos,leather,black,286.0
65512,Brenda,Jacobson,Brenda.Jacobson@gmail.com,wedges,leather,navy,195.0
15125,Elizabeth,Day,Elizabeth.Day@gmail.com,wedges,fabric,navy,204.0
72787,Patrick,Keller,PatrickKeller42@outlook.com,stilettos,fabric,black,285.0
60684,Anna,Lancaster,Anna.Lancaster@hotmail.com,boots,leather,red,435.0
36015,Richard,Forbes,RForbes1973@gmail.com,wedges,faux-leather,black,289.0
73858,Lisa,Durham,Lisa.Durham@gmail.com,boots,faux-leather,white,339.0
62605,Jennifer,Chang,JC2229@gmail.com,boots,fabric,navy,205.0
54049,Kelly,Montoya,KellyMontoya63@gmail.com,wedges,leather,brown,141.0
